1837,1414,1656,,1595.4575,1594.43,1666.9075
1317,1644,1617,,157.6209666,185.0638042,221.8257099
1554,1566,1940,,,,
1437,1343,1149,,,,
1985,1422,1827,,,,
1673,1749,1827,,,,
1823,1447,1822,,,,
1611,1654,1457,,,,
1659,1555,1835,,,,
1422,1546,1630,,,,
1477,1881,1761,,,,
1488,1410,1604,,,,
1560,1695,1716,,,,
1459,1779,1667,,,,
1377,1287,1823,,,,
1572,1438,1998,,,,
1806,1529,1952,,,,
1620,1347,1920,,,,
1440,1806,1534,,,,
1541,1546,520,,,,
1910,1677,1909,,,,
1821,1595,1636,,,,
1700,1563,1824,,,,
1587,1661,1470,,,,
1728,1432,1801,,,,
1568,1823,593,,,,
1501,1547,1547,,,,
1451,1840,1852,,,,
1595,1277,1646,,,,
1471,1550,1889,,,,
1718,1453,1252,,,,
1513,1491,1777,,,,
1970,1354,2247,,,,
1605,1762,1948,,,,
1880,1635,1526,,,,
1871,1582,1864,,,,
1547,1504,2017,,,,
1701,1625,1668,,,,
1475,1869,1086,,,,
1858,1599,1522,,,,
1462,1282,1784,,,,
1353,1658,1898,,,,
1832,1626,1554,,,,
1541,1408,1533,,,,
1653,1564,2048,,,,
1575,1578,1596,,,,
1380,1682,1587,,,,
1545,1504,1785,,,,
1495,1406,1661,,,,
1803,1785,1645,,,,
1434,1436,1469,,,,
1496,1489,1426,,,,
1748,1249,1582,,,,
1830,1709,1580,,,,
1552,1635,1719,,,,
1719,1858,1418,,,,
1522,1224,1822,,,,
1424,1780,1710,,,,
1396,1745,1790,,,,
1685,2097,1638,,,,
1594,1727,1863,,,,
1649,1460,1392,,,,
1391,1511,1575,,,,
1720,1765,1420,,,,
1396,1620,1834,,,,
1634,1660,1727,,,,
1478,1723,1660,,,,
1625,1148,1556,,,,
1805,1558,1404,,,,
1482,1747,1597,,,,
1674,1834,1881,,,,
1491,1571,1645,,,,
1605,1331,1778,,,,
2014,1689,1811,,,,
1486,1683,1570,,,,
1697,1718,1918,,,,
1672,1478,1571,,,,
1632,1433,1572,,,,
1415,1424,1417,,,,
1539,1982,1877,,,,
1431,1649,1698,,,,
1465,1539,1554,,,,
1566,1485,1631,,,,
1744,1669,1346,,,,
1748,1720,1411,,,,
1659,1557,1748,,,,
1474,1668,1590,,,,
1605,1691,1630,,,,
1390,1594,1450,,,,
1732,1485,1657,,,,
1351,1305,1412,,,,
1532,1578,1924,,,,
1524,1536,1905,,,,
1676,1819,1727,,,,
1471,1404,1668,,,,
1664,1541,1519,,,,
1414,1349,1690,,,,
1376,1550,1653,,,,
1471,1683,1783,,,,
1578,1717,1711,,,,
1540,1575,1850,,,,
1472,1520,1637,,,,
1548,1537,1489,,,,
1408,1435,1478,,,,
1512,1479,1724,,,,
1381,1481,1725,,,,
1624,1443,1347,,,,
1322,1880,1707,,,,
1712,1585,1602,,,,
1424,1598,2161,,,,
1466,1456,1812,,,,
1985,1521,1754,,,,
1789,1743,1578,,,,
1595,1285,1612,,,,
1472,1519,1759,,,,
1544,1770,1412,,,,
1662,1568,1427,,,,
1910,1627,1665,,,,
1788,1472,1647,,,,
1503,1212,1643,,,,
1825,1538,1683,,,,
1583,1557,1828,,,,
1498,1516,1862,,,,
1537,1668,1233,,,,
1287,1526,1744,,,,
1417,1595,1714,,,,
1565,1196,1535,,,,
2221,1744,1904,,,,
1653,1597,2058,,,,
1549,1538,1687,,,,
1469,1436,1338,,,,
1725,1595,1422,,,,
1659,1633,2008,,,,
1571,1675,1730,,,,
1460,1683,1535,,,,
1731,1756,1690,,,,
1685,1708,1824,,,,
1271,1436,1808,,,,
1283,1530,1722,,,,
1617,1581,1639,,,,
1543,1408,1574,,,,
1476,1672,1731,,,,
1612,1532,1824,,,,
1597,1566,1818,,,,
1491,1783,1454,,,,
1730,1679,1740,,,,
1636,1413,1776,,,,
1465,1453,1489,,,,
1581,1622,1596,,,,
1907,1455,1729,,,,
1388,1623,1604,,,,
1450,1947,1833,,,,
1572,1721,1658,,,,
1842,1517,1517,,,,
1624,1530,1598,,,,
1489,1631,1660,,,,
1556,1603,1844,,,,
1276,1521,1494,,,,
1730,1511,1678,,,,
1691,1484,1743,,,,
1884,1673,1437,,,,
1342,1699,957,,,,
1527,1766,1732,,,,
1269,1540,1674,,,,
1692,1328,1729,,,,
1617,1244,1481,,,,
1552,2046,1833,,,,
1554,1573,1578,,,,
1548,1409,1669,,,,
1708,1700,1529,,,,
1577,2004,1462,,,,
1411,2195,1543,,,,
1571,1737,1620,,,,
1317,1691,1480,,,,
1265,1537,1644,,,,
1393,1964,1789,,,,
1382,1727,1781,,,,
